unit,text,sample_type
259,"On the new monitor, the photo looked soft until she switched the display to a higher resolution. She pinched to zoom in on the tiny street sign and the letters snapped into focus. When she magnified further, the pixels started to show and the edges broke into blocks. She backed the zoom out and adjusted the scaling so the whole image stayed sharp.",single
259,"The chart described the illness as aggressive and fast-spreading, with a poor prognosis. He underlined the word severe because the symptoms were already limiting daily life. Every note in the record carried a negative tag, from debilitating fatigue to irreversible damage. By the time the visit ended, the diagnosis felt like a list of things that could go wrong.",single
259,"In the seminar room, the researcher presented a study on how a common solvent changed tumor growth in mice. The slides compared outcomes across several cancer types, and the curves diverged after the exposure period. Someone asked whether the effect was dose dependent, and she pointed to the highest group showing the largest shift. The discussion ended with plans to test the substance alongside a second factor in the next trial.",single
259,"She finally put a name to the episodes of joint swelling and morning stiffness after months of visits. The specialist explained that the disease attacked her own tissue and could flare without warning. He adjusted the medication to target inflammation and warned her to watch for signs of a relapse. Leaving the clinic, she felt relief at having a clear medical condition instead of vague complaints.",single
259,"At urgent care, the waiting room held people with coughs, migraines, and stomach pain. The nurse asked about chronic issues, allergies, and anything diagnosed in the past. One man mentioned a heart problem, while another worried about a lingering infection. The doctor moved from room to room sorting symptoms into likely health issues that needed follow-up.",single
259,"During tumor board, the radiologist pulled up a scan and zoomed in until the suspicious area filled the screen. At moderate magnification the borders were clear, but pushing the zoom too far made the image blocky and hard to judge. The oncologist referenced a study that tracked how a specific exposure altered outcomes across several cancer types. In the chart, the patient’s illness was labeled aggressive, with negative notes about fatigue and rapid decline. Another specialist reviewed her longstanding autoimmune condition and how it might react to chemotherapy. They also listed other health issues, from blood pressure problems to recurring infections, that would affect dosing. By the end of the meeting, they had a plan that balanced disease risk with what her body could tolerate.",mixed
2002,"The rental van looked bigger in photos, but the label inside said it could carry only seven passengers. He counted the seat belts twice because they had eight people and a pile of luggage. The driver refused to overload it and called for a second car. Splitting the group felt annoying, but the capacity limit was non-negotiable.",single
2002,"She spent the afternoon moving the client’s files from an old server to a new cloud bucket. After the transfer, she checked permissions and set a schedule for automated backups. The website stopped throwing errors once the database size was trimmed and the logs were archived. By evening, the storage bill finally matched what the company expected to pay.",single
2002,"At the meeting, the agenda listed James as Operations Lead and Michael as Safety Officer. Everyone kept using first names when they assigned tasks, so there was no confusion about who owned which decision. Later, an email came through addressed to Daniel, the new warehouse supervisor. The job titles sounded formal, but the names made the chain of responsibility obvious.",single
2002,"She opened the window for fresh air and immediately started sneezing. The doctor had warned her that the pollen count would trigger her allergy, and the itchy eyes proved it. On the way home, a stray cat brushed her leg and the wheezing got worse. She took an antihistamine and stayed indoors until the symptoms eased.",single
2002,"He brought a jar of pickled carrots that he made in his own kitchen. The label was hand-drawn, and the lid still smelled faintly of vinegar and dill. Later he showed her a wooden toy he carved from scrap, sanded smooth, and painted at home. None of it looked store-bought, and that was the point.",single
2002,"The group tried to squeeze into one shuttle, but the driver pointed at the placard showing the passenger capacity and made two trips instead. While they waited, Daniel from IT logged into the site dashboard and talked about cleaning up old uploads to reduce storage costs. Michael, the event manager, introduced himself with a firm handshake and reminded staff where to report problems. One volunteer started coughing after brushing against a dog, then admitted she was allergic and needed a break outside. To keep morale up, a vendor passed around homemade cookies and a small batch of jam with handwritten labels. As the crowd arrived, the team kept swapping vehicles, files, and people without losing track of what could safely fit where.",mixed
2236,"He opened the planner and crossed out every Sunday between today and December 31. After subtracting those days, the number left looked smaller than he expected. He used the remaining count to decide how many work shifts he could still pick up before the year ended. The calculation felt oddly satisfying, like closing a gap on a countdown.",single
2236,"The product page described a scarf woven from merino wool and listed the lining as satin. She zoomed in on the photos to check the stitching and the clasp. In the next tab, a foundation promised long wear and said it was fragrance free with a matte finish. She added both to the cart because the materials and claims sounded practical.",single
2236,"At the restaurant, he asked whether the soup had gluten or dairy in it. The server nodded seriously and offered a separate menu for restricted diets. He explained that it wasn’t a preference but a medical reason that made certain foods risky. When the plate arrived, he relaxed for the first time that evening.",single
2236,"The argument ended with a stinger of a comment that hung in the air after everyone went quiet. Outside the arena, a wasp clipped his neck and left a sharp sting that made him curse. He still found his entry pass and got through the gate to watch the hometown Stingers play. By the second period, a player skated off holding his shoulder, and the medic called it a stinger injury.",single
2236,"She joined a small advocacy group that met in a cramped office near the capitol. They spent the morning drafting talking points and booking meetings with legislators. At the hearing, they pushed back against a proposal that would restrict access to reproductive care and carve out religious exemptions. The lobbying was exhausting, but they treated every vote as a line they had to hold.",single
2236,"With only a few weeks left, he counted the days remaining in the year and scratched out the Sundays before planning his schedule. On his lunch break he ordered a winter coat online after reading the fabric details and the claims about waterproof seams. For the reception that night, the caterer marked one table for guests with strict dietary restrictions tied to medical issues. Just before the doors opened, a heated exchange ended with a stinger that made the room tense. Someone yelped outside when a wasp stung her hand, and security waved her through after checking her event pass. Across the street, volunteers handed out flyers for a lobbying campaign opposing new restrictions on women's health and expanding religious carve-outs. By the time he got home, the day felt like a pile of small deadlines, each with its own kind of pressure.",mixed
2332,"The referee reset the scoreboard, and the numbers started climbing as soon as the match began. Every capture added one to their tally, and the team shouted the count across the room. When the round ended, they argued over the final number and checked the replay to confirm it. In a game that tight, a single point in the total decided who advanced.",single
2332,"At the airport counter, he showed the agent the boarding pass on his phone. The airline application kept crashing, so he switched to the web page and pulled up the same code. As he waited, the overhead vent blasted cold air straight onto his hands. By the time the bag tag printed, he was more annoyed with the app than the line.",single
2332,"The workshop smelled of fresh paint as the technician connected the hose to the air compressor. He adjusted the nozzle and tested the spray pattern on a scrap board. Once the flow looked even, he started the application on the cabinet doors, moving steadily to avoid drips. The job went faster than brushing, but the air pressure had to stay consistent.",single
2332,"She created an account on the scholarship portal and started the application form. The site asked for transcripts, references, and a short statement about her goals. After uploading the last file, she hit submit and got a confirmation email with a tracking number. The process felt impersonal, but it was the official request they required.",single
2332,"The plane banked over the coastline, and the window turned into a panoramic view of cliffs and white surf. He opened a flight-tracking app to see their altitude and estimated arrival time. The map dot moved smoothly, but his favorite part was still the scenery below. When the clouds cleared, the city grid appeared like a model laid out on glass.",single
2332,"In the gaming lounge, their team kept a running tally on a whiteboard, marking each win as the competition grew louder. An hour later, he rushed to the airport and joined the queue at the check-in counter while the airline app struggled to load on weak Wi-Fi. A blast of recycled air hit his face when the terminal doors opened, and he rubbed his eyes to stay awake. On the plane, he filled out a job application on a web portal, attaching a résumé before the in-flight connection dropped again. The cabin finally calmed, and he watched the horizon widen into a panoramic view as they climbed above the clouds. After landing, he messaged friends that he was up by one in the series and promised to keep the count honest.",mixed
3358,"He held the camping knife and read the tag that listed the blade steel and handle material. The shop clerk explained what the thickness meant for cutting rope versus carving wood. The sheath was described as water resistant nylon, and the stitching looked tight. He bought it because the specifications matched how he actually planned to use it.",single
3358,"Traffic around the track was gridlocked before the IndyCar race even started. Fans in team shirts kept repeating the word Indy like it was a holiday, not a city. When the engines fired, the sound drowned out every conversation in the stands. He left with ringing ears and a program full of lap times.",single
3358,"The email announced a new subscription tier with faster support and extra storage. A banner at the top offered an early-bird discount if she upgraded this week. The whole message was written like a pitch, with bold claims and a tidy button that said get started. She forwarded it to her boss because it was clearly a marketing push.",single
3358,"The community center posted a flyer for a weekend workshop with a start time and a small materials fee. Parents signed their kids up for the climbing wall session while others booked spots in the pottery class. Inside, the staff checked names at the desk and directed people to different rooms. It felt like a mix of school and recreation, organized down to the minute.",single
3358,"His forum post jumped from arguing about graphics cards to sharing a quick pasta recipe. Someone replied with a blunt restaurant review from last night and then complained about a broken delivery order. A moderator dropped an update about server maintenance while another user told a personal story about moving apartments. Buried in the thread was a customer service rep asking for an order number.",single
3358,"She wrote a blog entry comparing two portable speakers, noting the battery life, casing material, and how they held up outdoors. In the next paragraph she mentioned driving to Indy for the weekend and catching an IndyCar race that shook the grandstands. Back at work, a vendor called to promote a new service package and tried to upsell her with a limited-time offer. Her son reminded her about his school’s science night, an educational event that also had games and a raffle. That evening she troubleshot a flaky hard drive, then cooled off by cooking a recipe she found in the same thread as a string of restaurant complaints. Before bed, she answered a customer service email so the return could be processed and she could stop thinking about it.",mixed
5369,"The job posting asked for strong credentials, not just enthusiasm. He highlighted the certifications he earned after long nights of practice. In the interview, the manager focused on whether his skill level matched the role’s responsibility. Walking out, he realized the paperwork mattered because it proved what he could do.",single
5369,"She chose a graduate program because she wanted deeper training than her first degree provided. The admissions office called to confirm her recommendation letters and research statement. When the acceptance arrived, it felt like a door opening to a different kind of work. She celebrated quietly, knowing the workload would be heavy.",single
5369,"At the family dinner, he explained that a bachelor’s was only the start for his field. His sister joked that he would be collecting degrees until he had a PhD. He shrugged and said the master’s program was the next step, not a trophy. The conversation drifted, but he kept thinking about the years ahead.",single
5369,"On his résumé, the master’s degree took pride of place above everything else. He mentioned the bachelor’s briefly and saved the PhD discussion for later because it was still in progress. Recruiters kept asking about the graduate coursework and the thesis topic. He learned to answer without sounding like he was bragging about academic degrees.",single
5369,"The hotel lobby was full of people in suits wearing conference badges. Some talked about their degrees, while others compared notes on the tournament they had flown in to watch. A surgeon described an exceptional case like it was a highlight reel, and everyone listened. The whole weekend felt expensive, polished, and slightly unreal.",single
5369,"The consulting firm hosted its retreat at a luxury resort where the ballroom chandeliers looked like something from a film set. Over coffee, new hires traded stories about their credentials and the skills they had to prove before getting promoted. One analyst mentioned finishing a master’s degree last spring, while another was applying to PhD programs and sweating the deadlines. Between sessions, a few executives bragged about their bachelor’s alma maters the way other people talk about sports teams. That night, the group took shuttles to a prestigious tournament, and the seats were close enough to hear the players argue with the officials. On the ride back, a senior partner said the exceptional experiences were fun, but the advanced degree requirements in their industry were only getting stricter. By checkout, she had a stack of business cards and a renewed respect for how much status rides on letters after a name.",mixed
8966,"The small shop shifted from one-time sales to a subscription box to smooth out revenue. Instead of relying on foot traffic, they built repeat orders around monthly deliveries. The owner watched margins closely because the retail model depended on predictable volume and tight inventory control. When returns spiked, she adjusted the policy to protect the business without angering loyal customers.",single
8966,"He missed his ferry and spent an extra hour wandering near the terminal in Bremerton. The town name was everywhere, stamped on signs, tickets, and even a weathered mural. He caught himself staring at the middle letters, the way mer sat inside the word like a hidden tag. By the time the boat arrived, he could spot Bremerton from a block away just by the signage.",single
8966,"The venue dimmed the lights and the band name flashed across the backdrop. When the singer stepped out, the crowd shouted the musician’s name as if it were a shared secret. The set list moved from old hits to a new single that had been trending all week. He left hoarse and happy, still humming the chorus on the walk home.",single
8966,"She started her shift before sunrise, checking the tide report and the safety gear. As a harbor pilot, she guided incoming boats through narrow channels where mistakes cost money and lives. On rough days, she could feel the current through the hull and adjust before anyone else noticed. Working around water demanded focus that never really turned off.",single
8966,"He formatted the reference with the author first, then the article title in italics. The date and journal name mattered because the editor wanted sources that could be verified. After double-checking the publisher, he added the page range and DOI. The bibliography looked dull, but a missing detail would have been embarrassing.",single
8966,"On the drive to Bremerton, she stopped at a chain retailer and noticed how the layout pushed customers toward higher-margin add-ons. At the marina, a water safety officer reviewed procedures while ferry crews prepared lines for docking. That night, a touring musician played a cramped bar, and the group’s name was printed on every poster in town. Over late food, her friend argued that subscription and consignment models were reshaping retail in smaller cities. Back at the hotel, she finished a report and typed out publication details with the author, journal, and date so the citations would hold up. The next morning, the Bremerton sign slid past the window again, and she realized she had learned the place by its words as much as its streets.",mixed
9661,"He called the provider to ask what data plan would cover two people working from home. The agent compared speed tiers and explained how the monthly cap worked. After hearing the price jump for unlimited service, he chose a mid-range option and set alerts for heavy usage. The offer sounded fine until he remembered how often video calls freeze on bad connections.",single
9661,"The founder watched a new startup copy their pricing within a week of every change. She treated them as a serious competitor because they targeted the same customers and hired from the same pool. In strategy meetings, their name kept coming up as the benchmark to beat. Competition made her sharper, but it also made her tired.",single
9661,"Two phones sat on the counter while she compared battery life and camera performance. The sales rep pushed one model hard, but the other had better support and a cleaner interface. It wasn’t about loyalty, just which product won on the features that mattered to her. After an hour of comparisons, the decision felt like picking a winner in a quiet contest.",single
9661,"In the pitch deck, he listed their closest competitors in a neat row of logos. He described how each rival positioned itself and where the gaps were. When the investor asked what would stop a bigger player from crushing them, he answered with a plan for differentiation. Naming competitors out loud made the risk feel real.",single
9661,"She muddled lime and sugar, then poured rum to build a sweet tropical drink that smelled like vacation. While it chilled, her father told stories about fishing near a broad Alaskan river where the water ran gray and fast. Dinner was simple, just salmon in a hot pan with salt and lemon, but it felt earned. The kitchen filled with steam and the sharp scent of citrus.",single
9661,"At the barbecue, he complained that his current internet plan throttled data right when guests started streaming music. His friend suggested a different provider and compared the plan offerings like it was a sport. Across the table, two founders traded stories about competitors undercutting them and how fierce the competition had become. Someone held up two gadgets and argued about which product was actually winning in the market. To lighten the mood, she mixed a tropical drink with pineapple and rum, then turned back to the grill to cook the fish properly. As the sun dropped, an older guest mentioned the Yukon River in Alaska and how remote places change your sense of scale. They ate, debated, and refreshed their phones on spotty Wi-Fi, still trying to outthink each other’s next move.",mixed
10233,"He opened the draft and started tightening the sentences one by one. Whenever a paragraph felt off, he searched the document for the repeated phrase and rewrote it. The cursor kept jumping as he cut and pasted sections into a better order. By the end, the page looked cleaner, and what he was trying to say finally sounded like him.",single
10233,"The local clinic posted a notice asking for donations to keep the mobile unit running. A neighbor shared the link and said the family down the street needed help covering medical bills. People responded with small transfers and offers to drive them to appointments. It wasn’t charity in the abstract, just a practical request met by a community that decided to show up.",single
10233,"She spent the morning calling around for an insurance quote that would cover her old apartment. One agent redirected her to legal services because the lease dispute had turned messy. After three calls, she found a firm willing to review the case and send a clear price estimate. The search felt like digging through noise to reach someone who could actually help.",single
10233,"He installed a new editor and immediately changed the theme and keybindings. The tool highlighted syntax errors as he typed, which saved him from running broken code. When he needed to refactor, the editor’s search and replace handled hundreds of lines in seconds. He closed the laptop thinking the software was doing half the work.",single
10233,"After weeks of spinning his wheels, he booked time with a professional adviser. He brought bank statements and a list of worries he hadn’t said out loud. The consultant listened, asked blunt questions, and gave him a plan that felt doable. Walking out, he wished he had asked for expert help sooner.",single
10233,"She edited the grant letter late at night, hunting through the text for typos and awkward sentences. At the same time, the nonprofit’s page kept refreshing as they solicited emergency donations for a family facing medical bills. Her brother texted asking if she could help him find a lawyer and get a clear quote for a lease dispute. She switched to her code editor to update the donation form, relying on the tool’s search feature to locate the right file. In the morning, she called around for professional advice from an insurance broker who understood the property market. By afternoon, she had cleaned up the writing, lined up the services they needed, and felt wrung out by all the asking and searching.",mixed
10917,"They met at a dim neighborhood bar where everyone seemed to know each other. After a few drinks, the conversation turned more personal than either expected. The place was loud enough to feel private, even when they sat shoulder to shoulder. By closing time, the room had done its job as a social shortcut.",single
10917,"The bartender filled a shaker with ice and measured out gin, citrus, and syrup. He snapped the tin shut and shook until his hands reddened from the cold. The drink hit the glass with a clean foam cap and a twist of peel on top. She took one sip and tasted why people argue about cocktails.",single
10917,"Their relationship had been strained, so they bought tickets to a comedy show to reset the mood. The crowd laughed in waves, and for a while they stopped keeping score. Afterward they lingered in the lobby, talking more easily than they had in weeks. Being in a shared space of entertainment made it simpler to be kind to each other.",single
10917,"On Friday night, the line outside the queer nightclub wrapped around the corner. Inside, the dance floor was packed and the bar never stopped moving. The staff knew regulars by name, and the whole place felt like a safe room that happened to serve alcohol. She left with glitter on her cheeks and a sense of belonging she hadn’t found elsewhere.",single
10917,"A public health notice proposed clearer warning labels about alcohol and cancer risk. The industry group responded with statements about personal responsibility and questioned the wording. In a meeting, advocates argued that consumers deserved plain information at the point of sale. The debate wasn’t about taste, it was about whether intoxicants should come with hard facts attached.",single
10917,"They chose a busy lounge for their anniversary because it felt easier to talk when the room hummed around them. She ordered a mixed drink with rum and lime, and he watched the bartender build it with practiced speed. Later they walked to a LGBTQ+ nightclub where the bouncer greeted familiar faces and the dance floor throbbed until morning. Between songs, a friend brought up a new push for alcohol warning labels tied to health risks. Someone else mentioned the trade association fighting back, insisting the labels would scare customers and hurt businesses. By the time they grabbed water and stepped outside, the night had mixed intimacy, entertainment, and intoxication into one long blur. On the ride home, they held hands and argued about whether the warnings would change anyone’s choices.",mixed
13767,"The flyer listed the yoga class time, the date range, and the price for a ten-session pass. It also gave a full address and a note about parking. She picked the Thursday slot because it fit her commute and the cost was within budget. When she registered, the confirmation email repeated every detail like a contract.",single
13767,"He didn’t hint at what he wanted; he demanded it. In the meeting, every sentence came out as a hard line about how things must be done. When someone offered a compromise, he shut it down with a stronger opinion and a tighter deadline. By the end, the room wasn’t debating anymore, just reacting to pressure.",single
13767,"She chose an e-commerce platform because it promised fast checkout and built-in inventory tracking. The dashboard had settings for payment providers, shipping rules, and analytics that didn’t require coding. When a plugin added email marketing and abandoned cart reminders, the site started to feel like a real business tool. The features mattered because they saved her from hiring a developer too early.",single
